gemma2,,,,,
,,,,,
Standard Deviation,,,,,
layers,modifiers,named_entities,numbers,negation,exception
1,0.035038,0.031339,0.028504,0.039855,0.03237
2,0.023614,0.0184,0.016821,0.027728,0.016601
3,0.047368,0.03931,0.037899,0.057153,0.047977
4,0.044201,0.036108,0.033148,0.039027,0.029569
5,0.043317,0.04168,0.038325,0.052099,0.042853
6,0.045115,0.036941,0.034441,0.046915,0.04382
7,0.032065,0.029041,0.027977,0.035773,0.030521
8,0.032362,0.028461,0.025612,0.034571,0.027842
9,0.022707,0.020077,0.018569,0.022831,0.019461
10,0.035593,0.027474,0.025394,0.035859,0.03445
11,0.036524,0.02977,0.027981,0.045095,0.036836
12,0.036558,0.029895,0.027665,0.038673,0.035542
13,0.033926,0.030553,0.02821,0.034917,0.032984
14,0.035579,0.028445,0.026698,0.035705,0.035794
15,0.029936,0.024485,0.022431,0.040771,0.029029
16,0.036815,0.032592,0.030396,0.042701,0.037442
17,0.028532,0.025284,0.021324,0.036414,0.028382
18,0.036396,0.026445,0.025031,0.033503,0.033125
19,0.02662,0.022106,0.019135,0.02633,0.022485
20,0.026335,0.021921,0.020432,0.027417,0.025363
21,0.020856,0.018201,0.015936,0.024912,0.015884
22,0.039427,0.035276,0.03273,0.040845,0.035305
23,0.013031,0.01179,0.010147,0.012974,0.012606
24,0.022676,0.02201,0.01943,0.024916,0.017298
25,0.034234,0.031376,0.028773,0.032157,0.031337
26,0.040365,0.039515,0.036301,0.045028,0.034604
,,,,,
,,,,,
gemma 9b,,,,,
,,,,,
Standard Deviation,,,,,
Layer,modifiers,named_entities,numbers,negation,exception
1,0.033203,0.030126,0.02735,0.038363,0.030889
2,0.030628,0.024893,0.021863,0.03168,0.0208
3,0.058621,0.047071,0.043467,0.064437,0.055629
4,0.038706,0.036644,0.035198,0.043667,0.036383
5,0.042915,0.034996,0.032855,0.036888,0.035333
6,0.03543,0.027759,0.026144,0.030244,0.029067
7,0.034262,0.026073,0.024212,0.034012,0.030222
8,0.025881,0.021484,0.020036,0.029133,0.025129
9,0.039275,0.040546,0.037613,0.038944,0.036891
10,0.027735,0.023261,0.021952,0.025314,0.023587
11,0.043105,0.035674,0.03348,0.042424,0.041563
12,0.035749,0.030139,0.0286,0.039374,0.035776
13,0.027705,0.025901,0.024206,0.029306,0.026737
14,0.032564,0.030161,0.028485,0.031297,0.029784
15,0.034698,0.033913,0.032115,0.037029,0.03536
16,0.034595,0.0281,0.027178,0.036497,0.038649
17,0.030139,0.024886,0.022904,0.031094,0.030258
18,0.023949,0.021722,0.021513,0.023672,0.032067
19,0.027515,0.022646,0.022994,0.031783,0.035217
20,0.031454,0.026692,0.02684,0.031274,0.041425
21,0.031504,0.026665,0.025566,0.032701,0.037779
22,0.03488,0.03027,0.029876,0.037026,0.04089
23,0.038865,0.03272,0.032019,0.044942,0.046524
24,0.026751,0.02232,0.022149,0.025095,0.036036
25,0.034406,0.029535,0.028084,0.038042,0.035085
26,0.030982,0.025792,0.024145,0.036558,0.029319
27,0.032192,0.027377,0.024498,0.035441,0.02931
28,0.049895,0.046441,0.043682,0.055957,0.044799
29,0.011109,0.010578,0.009421,0.012619,0.009494
30,0.023407,0.020704,0.018838,0.027768,0.022496
31,0.021567,0.018305,0.016891,0.023146,0.018403
32,0.024373,0.024555,0.022817,0.030435,0.027498
33,0.019482,0.014951,0.013563,0.01741,0.012891
34,0.016095,0.015636,0.014909,0.019947,0.013297
35,0.015999,0.014774,0.013758,0.014539,0.014646
36,0.017181,0.015475,0.015262,0.01756,0.015107
37,0.019349,0.020443,0.019135,0.024959,0.017287
38,0.021381,0.019383,0.017411,0.021351,0.019396
39,0.017998,0.017622,0.016438,0.019423,0.016987
40,0.027577,0.024979,0.023953,0.027755,0.023601
41,0.026165,0.025159,0.02381,0.030018,0.02218
42,0.028066,0.029573,0.027938,0.036826,0.026002
,,,,,
,,,,,
llama 8b,,,,,
,,,,,
Standard Deviation,,,,,
Layer,modifiers,named_entities,numbers,negation,exception
1,0.013093,0.009295,0.008885,0.017196,0.015911
2,0.020273,0.007872,0.007123,0.018097,0.0152
3,0.008122,0.00318,0.002819,0.005883,0.006716
4,0.008657,0.00619,0.005691,0.005916,0.007871
5,0.012541,0.007098,0.007243,0.007773,0.009664
6,0.009692,0.006198,0.006793,0.009071,0.011372
7,0.015639,0.009544,0.009986,0.017188,0.015615
8,0.013618,0.011964,0.012435,0.014527,0.015555
9,0.013192,0.012733,0.014249,0.017831,0.014175
10,0.015926,0.013061,0.014035,0.019747,0.015965
11,0.010964,0.011422,0.012919,0.015505,0.01224
12,0.012318,0.011319,0.014247,0.020063,0.018458
13,0.018268,0.015732,0.017778,0.023367,0.021861
14,0.011365,0.012772,0.018059,0.024253,0.015304
15,0.013861,0.014549,0.017326,0.023038,0.016806
16,0.014989,0.013763,0.015392,0.028671,0.017912
17,0.015999,0.013923,0.01655,0.021585,0.017435
18,0.013422,0.010559,0.013084,0.014505,0.014584
19,0.007325,0.007191,0.007179,0.010057,0.009104
20,0.004814,0.0063,0.00641,0.005844,0.005843
21,0.005589,0.006754,0.007175,0.006354,0.00745
22,0.006994,0.009022,0.009729,0.009146,0.011367
23,0.004768,0.006477,0.007696,0.007297,0.007153
24,0.004996,0.004641,0.005915,0.00354,0.007362
25,0.006594,0.005737,0.006692,0.005214,0.005194
26,0.005739,0.006401,0.007378,0.009167,0.006149
27,0.007388,0.009647,0.009803,0.008905,0.007202
28,0.006329,0.006533,0.0094,0.006085,0.007759
29,0.012265,0.012197,0.014407,0.014777,0.012182
30,0.008146,0.010043,0.01115,0.011489,0.009717
31,0.01438,0.012477,0.021465,0.01271,0.015491
32,0.024531,0.026312,0.031641,0.030936,0.023371
,,,,,
,,,,,
llama 7b,,,,,
,,,,,
Standard Deviation,,,,,
Layer,modifiers,named_entities,numbers,negation,exception
1,0.032128,0.028128,0.026998,0.031638,0.031276
2,0.025696,0.020573,0.020725,0.02522,0.027295
3,0.008161,0.007001,0.006406,0.00855,0.006245
4,0.005187,0.004265,0.003991,0.005867,0.005152
5,0.010472,0.007355,0.006849,0.006515,0.008052
6,0.010833,0.010164,0.009696,0.009711,0.010357
7,0.008546,0.007047,0.007001,0.006716,0.007913
8,0.008971,0.006634,0.006384,0.008275,0.008299
9,0.011278,0.008678,0.008355,0.009161,0.010829
10,0.013305,0.011578,0.010933,0.011627,0.012895
11,0.014723,0.010963,0.010436,0.01324,0.015233
12,0.010909,0.00886,0.008624,0.008666,0.010201
13,0.01297,0.009337,0.009113,0.009868,0.012623
14,0.013598,0.010758,0.010191,0.011313,0.013555
15,0.013796,0.011411,0.010978,0.012383,0.012568
16,0.014817,0.01289,0.012235,0.015143,0.014667
17,0.015645,0.012969,0.012215,0.013568,0.014544
18,0.012294,0.010724,0.010289,0.013061,0.011072
19,0.012042,0.009913,0.009154,0.007615,0.01013
20,0.009613,0.008972,0.008327,0.008009,0.008062
21,0.010682,0.00891,0.007949,0.010492,0.009017
22,0.0058,0.005814,0.005354,0.004797,0.004212
23,0.010661,0.010205,0.00948,0.011802,0.008133
24,0.007853,0.007772,0.007472,0.010325,0.006375
25,0.009571,0.007814,0.007487,0.009193,0.007771
26,0.005552,0.006347,0.005932,0.009928,0.004177
27,0.009955,0.008657,0.007905,0.009977,0.008424
28,0.008827,0.008525,0.008363,0.011471,0.007199
29,0.00856,0.00839,0.007708,0.012184,0.00664
30,0.007576,0.008255,0.007794,0.01289,0.005906
31,0.007712,0.007613,0.007494,0.017357,0.005704
32,0.021099,0.026733,0.024763,0.025945,0.019327